No.;Описание;Описание 2
0216110035;винт М12х60;MF6S 10.9 M12X60 DIN 7991 ZnB
0216110036;винт М20х60;din 7991-10.9 ZnB
0216110042;винт-фрезенк глава, вътр. 6-ст;M08x030H, 8.8, A2K DIN7991 Re. 4700902520
0216110044;винт М20х50;din 7991-10.9 ZnB
0216110046;винт-фрезенк глава, вътр. 6-ст;M5x10H 8.8 Zn DIN7991=ISO10642
0216110049;винт М16х35 DIN7991-8.8 ZnB;ISO10642
0216110051;винт М5х12 - 8.8 FzB;din 7991
0216110057;винт м8х12;din 7991-8.8 ZnB
0216110091;винт М05х55;din 7991, H, 8.8 ZnB
0216110092;Винт М6х55 8.8 ZnB;ISO10642 цяла резба,поцинкован
0216121000;винт м5х25;din 7991 - 10.9
0216124400;винт м6х12;din 7991-10.9 черен
0216124600;винт м6х16;din 7991-10.9 sort
0216195707;винт М12х25;MF6S 10.9 M12X25 DIN 7991
0216195709;винт M8X16 10.9 DIN7991;HEX. SOCK. FLAT HEAD SCREW
0216195711;винт м4х12;din 7991-8.8 zn, iso 10642
0216195738;винт м8х16 поцинкован;din 7991-8.8 fzb, iso 10642
0216195746;винт м8х50;din 7991 8.8 zn
0216195748;винт м8х20;din 7991-8.8 zn Ref 0216195748
0216195759;винт М5х16 - 8.8 FzB;din 7991
0216195761;винт m8x25 din 7991-8.8 zn;din 7991-8.8 zn
0216195766;Винт M6x60;DIN7991-10.9 FZB
0216195776;Винт FHC M6x70-10.9 DIN7991;full thread Bossard1021788
0216195786;винт м8х25;M08x025H, 10.9, Geomet STD233
0217110140;винт м6х20 10.9 цяла резб torx;T30 ISO 7380, A2K
0219110020;винт м6х20 Т30 FZB;6-point socket screw ISO 14581
0223400058;пас-болт m10-12x40;iso 7379-12.9 zn
0226030060;винт самонарезен с вътр. 6-ст;MC6S-TT M6X16 FZB Type C
0226030062;винт самонарезен с вътр. 6-ст;MC6S-TT M8X16 FZB Type C
0226030063;винт самонарезен с вътр. 6-ст;MC6S-TT M5X10 FZB Type C
0226030065;винт м5х30;din 7500-1 Form C-5.8 ZnB
0226030500;болт самонарезен с фланец;M6SF-TT M6X16 FZB Type D
0226032600;болт самонарезен с фланец;M6SF-TT M5X10 FZB Type D
0226035005;винт м5х8;din 7500-1 Form C-5.8 ZnB
0226035013;винт м5х40;din 7500-1 Form C-5.8 ZnB
0226035025;винт m3x6;taptite ph torx zn
0226035026;SCREW M5X30;TAPTITE 6-POINT SOCKET T25 FZB
0226035107;винт самонарезен с вътр. 6-ст;MC6S-TT M5X12 FZB Type C
0226313903;винт hb Ejofix-M 4,2x14;din 7504 k ZnB Re. 0226313903
0226313930;винт st4,2x13;din 7981-c sz pozi
0226313931;SCREW, SELF-TAPPING 3.9 X 19;DIN 7981 PART OF AME1600 BY ENARCO REF. 102541
0226325600;винт ST4.2x9.5;din 7981-c sz pozi 0226334389
0226330001;винт самонарезен;ST4,8x32 поцинкован
0226330020;винт самонарезен St4.8x9.5-FZB;ISO14585
0226330022;винт самонарезен 6-point ss;RTK ST2,9X6,5 ISO14585 T10 A2K
0226330024;SCREW 4X16 T20;PAN HEAD, 6-POINT SOCKET, ATECH REF. 8910223
0226330026;SCREW 4X25 T20;PAN HEAD, 6-POINT SOCKET
0226330027;Самонарезен винт 3,5x10 T15;M3,5x10 T15 WN5251 SHEETtracs
0226334329;винт 2,9х6,5;ref. 0115 29 65 1000
0226991510;SCREW M8x60;DIN 603, type A
0226991518;болт коларски м10х50;din 603-4.6 ZnB
0226991522;болт коларски м10х35;din 603-8.8 ZnB
0226991525;болт коларски м10х80;din 603-8.8 ZnB
0226991526;болт коларски m8x25;din 603-8.8 znb ~ISO 8677
0226991531;болт коларски м10х40;din 603-8.8 ZnB Re. Dynapac 4700185913
0226991532;болт коларски М8х20  8,8 fzb;M8x20, 8.8, fzb
0226991538;болт коларски м10х45;din 603-8.8 ZnB Re. 4700904341
0226991539;болт коларски м8х40;din 603-8.8 ZnB
0226991540;Болт коларски MVBF M12X45;CL8.8 DIN603Mu Re.1431838
0226991801;BOLT;BUKUMA Ref. DY00066
0226991802;болт лемежен М12x100 din 608;MVBFF 10.9 M12x100 flZnnc-480
0226991803;болт лемежен М12x110 din 608;MVBFF 10.9 M12x110 flZnnc-480
0226991804;болт лемежен М12x150 din 608;MVBFF 10.9 M12x150 flZnnc-480
0244412300;Нит самоврязващ ф1.9х5;KDS nr 0 x5 по SMS-1549
0244414300;Нит самоврязващ ф 2.5х5;KDS nr 2 x5 по SMS-1549 Re. 4700527002
0244416300;нит ф2,9x5;nr.4x5 rh zn
0246195654;шпилка м8х35 L45;din 939-8.8 ZnB Re. 0248998009
0248997932;THREADED ROD;2 amplirude compactor
0248997998;шпилка м5х1000 - заготовка;DIN 975-8.8 ZnB (1 бр.= 1 m)
0248998128;шпилка м10х50;din 976-8.8 ZnB Re. 4812060302
0261109032;гайка м6;din 934 - a2 (неръжд.)
0261109100;гайка М14L;HEXAGON NUT
0261109167;гайка м10 din 439 b zn;
0261109176;HEXAGON NUT, ISO4161, Type: Serrated;Ref. 11590100001 = Dynapac Ref. 4700792817
0261109910;гайка  ситна стъпка М12х1,25;M12x1,25, -4, A3K DIN 439
0261109911;Гайка М20х1.5 поцинкована;DIN 439 M20x1.5
0261109923;гайка къса M24X2 DIN 439B;M24X2 DIN 439B BOSSARD 1416103
0261109953;гайка м14х1,5;din 934-8 черна
0261109954;HEXAGON THIN NUT M10X1.25;CLASS 10  ZINC PLATED ISO 8675
0261109955;гайка с фланец М10x1,25-08ZnB;M10x1,25-08Zn ISO4161=DIN6923 Re. 4700792412
0261210800;гайка м6;din 439 b zn
0261211000;Гайка М8 DIN 439 b zn;Re.0261211000
0261211200;контрагайка м12 поцинкована;ML6M-05 M12 ISO 4035 A3K
0261211400;гайка ниска М16х2,00;M16x2,00, -5, A3K
0266120800;NUT;
0266210400;гайка м3;din 934-8 zn HVA STD 731231001
0266210700;гайка м5;din 934-8 ZnB
0266210800;гайка М6, fzb;ISO 4032 Re. 4700570004
0266211000;гайка M8 din 934-8;ZINC PLATED, HUSQVARNA STD 731231801
0266211100;гайка М10 DIN 934-8 Zn;DIN 934-8 Zn Re. 4700570006
0266211200;гайка М12х1,75, -8, А3К;M12x1,75, -8, A3K HVA STD 731232201
0266211400;гайка М16х2,00, -8, А3К;M16x2,00, -8, A3K Re. 4700570008
0266211600;гайка  HU M20 CL8 DIN934;NUT HU M20 CL8 DIN934
0277131000;гайка м8;din 1587 8.8 FZB
0277131100;гайка m10;din 1587 - 6 zn
0281136600;гайка коронна M20;din 935 ZnB
0291110600;гайка самоз. M4 CL8 DIN985;LOCK NUT = BOSSARD 1094920
0291110700;гайка M5;din 985-8 zn HVA STD 732211401
0291110800;Гайка M6 DIN 985-8 Zn;LOCK NUT
0291111000;гайка самозак.ниска М8;ISO 10511  din 985 - 8 zn
0291111100;гайка самозак.ниска М10;ISO 10511  din 985 - 8 zn
0291111200;гайка M12  din 985-8 zn;
0291111400;гайка м16;din 985-8 zn
0291111600;гайка м20;din 985-8 zn
0291111800;гайка самозаконтряща м24;din 985 - 8
0291112812;гайка самозак. М03 DIN985;M03 DIN985
0291112814;гайка самозаконтряща М5 ISO 7014;Class 8 Zinc Plated HVA STD 732251401
0291112815;гайка самозаконтряща;M06 ISO7040 Re. 4700586002
0291112816;гайка самозак. с флан. М06х1;M06x1,00, -8, A2K Re. 4700902285
0291112818;гайка самозак. M8 ISO7040;M08 ISO7040 CLASS 8 ZINC PLATED
0291112819;Гайка самозак. с фланец М8;M08x1,25, -8, A2K Re. 4700902286
0291112820;гайка M10 ISO7040, ключ 16;самозаконтряща Re. 4700586018
0291112821;самозак.се гайка M10x1.5;M10x1.5, -8,
0291112822;гайка самозаконт. M12 ISO7040;M12 ISO7040
0291112823;гайка фланец  М12х1,75 самозак;M12x1,75-08, A3K ISO7043 Re. 4700902288
0291112825;гайка самозаконт. M16 ISO 7040;M16 ISO 7040
0291112832;гайка м36;din 985 покритие FeZn
0291112836;гайка м18x1,5;din 985-8
0291112845;LOCK NUT M12 - 10 FZB;ISO 7043
0291112855;гайка м6;din 985 a2
0291112856;гайка самозаконтр. с фланец М05х0,80;M05x0,80, -8, A2K
0291118006;LOCK NUT;Ref.110622000010
0292140800;LOCK NUT;1/2 UNF Fabory Ref. 12370.127.001
0298010600;гайка;M08, Type B
0298010700;гайка;M10, Type B
0298100114;Нит гайка М8   BLIND RIVET NUT;M8X19 SEHER 6FAR-ER-M8-HEX
0298100115;Нит гайка M10  BLIND RIVET NUT;M10X24 SEHER 6FAR-ER-M10-HX
0300012909;шайба каросерийна M8;8,4X20X1,5 FZB
0300012913;шайба ф6;din 9021a - nylon, бели/56330
0300012949;шайба 37x66x5;din 125 покритие FeZn
0300013009;шайба ф6.2/12x1.6 неръжд.;din 125 a - a2 (stainless)
0300013022;шайба M10 10,5x22x4,0;M10 10,5x22x4,0 300 HV,STD277 Re. 4700904557
0300013050;шайба 13.5х44х4 mm;Extra Large Series, Form R
0300013055;шайба;M08 8,4x22x3,0 300 HV Re. 4700904640
0300013060;шайба М16 HV300  DIN125-2;покритие Geomet
0300013061;шайба;M06 6,4x22x4,0 300 HV
0300013062;шайба найлонова ф21/37x3;din 125 a pa6 черен
0300013079;шайба;M12 13,0x30x4,0 300 HV
0300013080;шайба M08 8,4x26x4,0 300 HV;M08 8,4x26x4,0 300 HV
0300013098;Шайба медна Ф5хФ9х1,5;DIN7603 formA Copper
0300013110;шайба 10.5х25х4;din 7349 a4 неръжд.
0300027411;шайба;M12 13,0x24x4,0 200-300 HV Re. 4700904703
0300027413;шайба 21х37х3;iso 7089 = din 125A ZnB
0300027417;шайба 10,5x30,0x2,5;10,5x30,0x2,5 ISO 7093 HVA STD 734117441
0300027438;шайба M10 10,5x22x2,0 300 HV;STD 277
0300027464;шайба ф6.4x18x1.6;NB 06,4 18,0 1,6 din 9021 b Zn Re. 4700928381
0300027493;шайба 10.5х28х4;din 6340 ZnB HV30=350...430
0300027603;шайба 17х40х3;FENDER WASHER, ZnB
0300027621;шайба ф9/28х3;iso 7094 = din 440 r ZnB
0300027662;шайба найлонова ф8,4/24x2;din 9021 pa 6
0300801900;Шайба ф8 DIN9021 (8.4x25x2)FZB;Ref. 3377104008
0301231500;шайба;M04 4,3x9x0,8 200-300 HV
0301231800;шайба ф5;din 125b zn Ref 0301231800
0301232100;шайба ф6;hb 200 zn
0301233500;шайба ф8 din 125b zn;din 125b zn
0301234400;Шайба ф10 WASHER Re. 8026505;ZU10ACIER ETROITE(STEEL/SMALL)
0301235800;шайба 13x24x2,5;ISO 7089 HV200-300 ZnB HVA STD 734117801
0301237100;Шайба М14 PLAIN WASHER;Z M14 FZB ISO7089 = 3371817718
0301237800;шайба;M16 17,0x30x3,0 300 HV HVA STD 734118601
0301238600;Шайба подложна 19х34х3;DIN 125 Zn
0301240500;шайба 25х44х4;din 125b zn
0303115900;шайба 13x36x6 fzb;TBRSB Swedish Std.
0303127404;шайба  6.4x22x4;TBRSB Zn SMS 1466 Swedish Std.
0324155077;шайба ss 14;ss14-20-1.5 din 988
0324155136;шайбa ps 25x35x1;din 988
0324155148;шайба ф20/28x1;din 988 oiled
0324155157;шайба ss 28x40x2;din 988
0324155175;шайба ps 45x55x2;PS045055200-VAS din 988
0324155176;шайба ps 40x50x2;PS040050200-VAS din 988
0324155207;шайба ps10x16x0,3;din 988
0324155252;шайба ss15;din 988 ss15/21x1,5
0324180068;Винт дистанционен;М6 / М6
0324180082;Гайка дистанционна;M4x30 mm FZB
0333050005;шайба конична м10 din 6796 ZnB;iso 10670 / din 6796 ZnB Re. 4700615044
0333050006;шайба конична 13X29;din 6796 Re. 4700615045
0333050008;шайба конична 21x45x5;M20
0333050012;шайба конична;6,4X14 Re. 4700615042
0333050029;шайба конична М8 DIN 6796 ZnB;iso 10670 / DIN 6796 ZnB Re. 4700615043
0333217449;шайба пружинна м8;din 7980 fzb
0333221900;шайба пружинна м6;din 127 B
0333223000;федер шайба 10Н din127B;din 127 B Re. 4700604007
0333313900;LOCK WASHER;13.2-22x1.0 DIN 6798 Form A
0333321500;шайба ф5.3;din 6798 a
0333323200;шайба ф10;din 6798a - zn
0333323700;шайба ф12;din 6798a zn
0333520006;шайба законтряща м30 к-т;nord lock
0333520013;шайба NORD-LOCK M10 SP;NORDLOCK M10 LARGE 10.7x21x2.5
0333520014;шайба NORD-LOCK M10  WASHER;NORD-LOCK M10 Re. 4700186038
0333520018;шайба nordlock NL6 M6 DIA 13.5;M6 d06.DIA 13.5 NORDLOCK
0333520019;шайба законтряща м42 к-т;nord lock
0335110434;пръстен пружинен as 25;din 471 hеavy-duty (bn 821)
0335110454;зегерка 20X1,75  DIN471;SHAFT CIRCLIP HEAVY=1290037
0335111200;пръстен осигурителен;d 010 s=1  вал din 471 STD 148 Re. 4700150002
0335111400;пръстен осигурителен;d 012 s=1  вал din 471 STD 148 Re. 4700150003
0335111700;пръстен пружинен ф15x1,0;din 471
0335111800;пръстен осигурителен;за вал d 016 din 471 STD0148
0335112200;пръстен осигурителен;d 020 за вал din 471 STD 148
0335112700;пръстен осигурителен;d 025 за вал din 471 STD 148 Re. 4700150009
0335113200;пръстен осигурителен;d 030 s=1.5 вал din 471
0335113600;Зегерка за вал;d 035 Re. 4700150014
0335114000;пръстен осигурителен;за вал d 040 din 471
0335114200;пръстен осигурителен;d 045 за вал din 471 STD 148 Re. 4700150017
0335114500;пръстен пружинен A50 mm;за вал А50 din 471
0335114700;пръстен осигурителен;d 055 за вал din 471 Re. 4700150033
0335115100;пръстен осигурителен;d 060 за вал din 471 Re. 4700150020
0335116500;пръстен осигурителен;d 090 за вал din 471 Re. 4700150035
0335210208;пръстен пружинен j 57;din 472
0335211800;пръстен осигурителен j16;d016 за отвор din 472
0335212200;пръстен осигурителен j20;din 472 ф20x1
0335212700;пръстен осигурителен;D 025 за отвор din 472 STD 149 Re. 4700151007
0335212800;пръстен осигурителен;D 026 s=1.2 за отвор din 472
0335213002;пръстен пружинен jv28;skf seeger orbis gmbh
0335213200;пръстен осигурителен;D 30 din472 за отв. 0335213200
0335213500;пръстен осигурителен;D 034 s=1.5 за отвор din 472 Re. 4700928787
0335213700;пръстен пружинен j 36;din 472
0335213900;пръстен пружинен j 38;din 472
0335214200;пръстен пружинен j 45;din 472
0335214300;пръстен пруж. j47;din 472 Re. 337820612 Lifton p/n
0335214400;пръстен пружинен j 48;din 472
0335214600;пръстен осигурителен;D 52 за отвор din 472 STD 149
0335214700;пръстен осигурителен;D 055 за отвор din 472 Re. 4700151019
0335215700;Зегерка за отвор;D 072
0335216000;пръстен пружинен j 80;din 472 Re. 0335216000
0335300009;шайба заключваща  Re. 1292927;QUICKLOCK ф8 (STARLOCK ф8)
0335310012;пръстен осигурителен RS19;DIA.19X1,75 DIN6799 TYPE RS
0335310900;пръстен осигурителен RS7;DIA.7X0,9 DIN6799 TYPE RS
0335311100;пръстен осигурителен RS9;DIA.9X1,1 DIN6799 TYPE RS
0335350007;Пружинен пръстен 18;18 DIN 7993 - B
0335350140;пръстен пружинен SB76;SKF Seeger-Orbis
0335350152;пръстен пружинен sb 12;seeger - orbis sb12
0335350701;пръстен пружинен sb 16;seeger - orbis sb16
0335350801;пръстен пружинен sb 45;seeger - orbis
0335351602;пръстен пружинен sw 8;seeger - orbis
0337001003;Шпонка  4,75x4,75x47,5 B;FLAT KEY 4,75x4,75x47,5 B
0337001004;FLAT KEY;6,35x6,35x60 B
0337212600;шпонка 6,0X6,0X40 A ISO/R773;FLAT KEY
0337258900;шпонка 5х5х30;DIN 6885A oiled agg. cor.
0337259200;шпонка 5х5х36;din 6885 Form A
0337660811;шайба ps 40x50x2;PS040050200-VAS din 988
0337711300;шпонка 8х7х40;за стандартни ел. мотори с метричен вал
0337714700;шпонка 10х8х18;din 6885 Form A
0337715200;шпонка 10х8х30;din 6885 Form A
0346100003;скоба ф6;06.0  4.2  12.0
0346100006;Pipe clamp covered;06.0  6.4  15.0
0346100019;скоба;32.0  8.4  20.0
0346100024;скоба;13.0  8.4  20.0
0346100029;скоба ф22;Norma RSGU 1.22/15 W1
0346100033;скоба тръбна;16.0  8.4  20.0 Re. 4700904346
0346100077;скоба;20.0  8.4  20.0 Re. 4700921116
0346100078;скоба;ф13x15 М6
0346100082;скоба тръбна;15x15xM6
0346100083;скоба ф28;Norma RSGU 1.28/15 W1
0346100093;скоба ф10;Norma RSGU 1.10/20 W1
0346100201;скоба;08.0  6.4  15.0
0346100202;скоба;10.0  6.4  15.0
0346100203;скоба ф12;12.0  6.4  15.0 Re. 4700921039
0346100205;скоба ф16;Norma RSGU 1.16/15 W1
0346100209;скоба;25.0  8.4  20.0
0346100210;скоба;28.0  8.4  20.0
0346100241;скоба тръбна;22.0  8.4  20.0
0346100243;скоба;ф19x15 М6
0346101403;скоба ф 8;RSGU 1.8/15 W5, Cover: EPDM
0346300043;скоба тръбна съставна ф12;Polypropylene, two halves set
0346300115;скоба ф39-42x11.5;ABA R42-2 EXHAUST PIPE CLAMP
0346510700;скоба кабелна;2xФ16x15 Ф5
0347010210;скоба ф7,4;MikalorAML8 Re. 02014041
0347010211;скоба ф5,5;MIKALOR 02014025 AML SPRING CLIP 6
0347010500;скоба ф11-ф13;за водно съединение
0347010900;скоба ф20-23;ABA Ref.H2023
0347012230;скоба тип HERBIE 34.3-37.9 mm;ref. HC-Q-PA66-BK
0347610004;HOSE CLAMP;spare part only
0347610031;скоба;087-113, 12
0347610053;скоба;015-025, 12
0347610059;скоба;022-033, 12
0347610060;скоба червячна;026-039
0347610062;скоба 11-18 х 9;011-018, 9
0347610500;скоба глобоидна 16-25 mm;aba alu-zinc
0347610800;скоба ф25-32;HOSE CLAMP D25-32 MM W. SCREW
0347610900;скоба ф26-38;HOSE CLAMP ф26-38 MM W. SCREW
0347611100;скоба ф32-44;HOSE CLAMP D32-44 MM W. SCREW
0347611200;скоба ф40-50;HOSE CLAMP D40-50 MM W. SCREW
0347611300;HOSE CLAMP;D51-65 MM W. SCREW =4700313010
0347611400;HOSE CLAMP;D60-75 MM W. SCREW
0347611600;HOSE CLAMP;D77-89 MM W. SCREW
0347611900;HOSE CLAMP;
0347613000;скоба ф40-60;HOSE CLAMP ф40-60 W. SCREW
0347620052;скоба за маркуч 23-25 mm;MIKALOR Ref.03019047
0347620085;скоба за маркуч 26-28 mm;W1 26-28 FZ
0348010105;кабелна връзка186x4.8mm черна;Dmax=44 mm Polyamide 6/6Black
0348010108;кабелна връзка385x7.6mm черна;Dmax=108mm Polyamide 6/6Black
0348010117;връзка кабелна;140x3.6 Polyamide 6.6 black UV
0348010119;връзка кабелна;200x4.7 Polyamide 6.6 black UV
0371110021;винт с халка М10;DIN580 ZnB
0384300046;DISC SPRING 18.8X10.2X0.35;TYPE K, FOR BALL BEARING
0384300059;пружина дискова;28 x 14.2 x 1  Stainless
0384343700;SPRING;
0392110079;VIBRATION DAMPER;TYPE B30x20-M8x20-M8x10 SH 50
0392110081;гумен тампон30х30 м8 Shore55;TYPE G CONICAL D30X30 M8 55SH
0392111402;гумен тампон50х50м10 Shore55;TYPE C DIA.50X50M10 55SH
0500319600;Втулка бронз 25x35x25;Cylindrical bearing bronze
0502109002;лагер сачмен 15x32x9;SKF 6002-2RS1 Re. 4700111237
0502109014;BALL BEARING;6001C3 AME 600 ATECH REF. 422524212
0502110096;лагер сачмен 17x35x10;SKF 6003 2RSH
0502123600;лагер 6010 2RS1;SKF STD Ref.0502123600
0502223000;лагер радиален сачмен;6205 2RSH - Re. 4700111114
0502241500;лагер 6202 ZZ;BALL BEARING 6202 ZZ Re. 4700929296
0502801030;Лагер SY 40 TR;Bearing unit
0504221700;BEARING;
0506010022;Лагер самонаг 2реден ролков;SKF  22308 E/VA405
0517110050;Ball 10 AISI420 G20;
0517110600;сачма ф4;DIN 5401
0517110700;сачма ф4.5 din5401;din 5401
0517110800;BEARING;
0517110900;сачма ф5.5;din 5401
0517111600;сачма ф3/8;din 5401
0518125500;SEAL RING;TYPE JV 25
0544110009;пресмасленка м8х1.25;din 71412a ZnB
0544110012;пресмасленка м10х1;din 71412a
0544110024;пресмасленка м10х1 45 гр.;din 71412c
0544210600;Гресьорка;М6 DIN71412A
0570501014;щуцер 7/16-20 - 9/16-18 UNF;GE O 04 HJ 06 hansa flex
0570501073;щуцер NPT1/4 - 9/16-18 UNF;GE HN 04 HJ 06 hansa flex
0570509108;Коляно 90 гр. 1-5/16 UNF-12;Parker 16 C5OX
